"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipModuleLaunchKernel","2","24730","12365","34.6795680830178"
"hipLaunchKernel","2","17850","8925","25.0315523769457"
"hipExtModuleLaunchKernel","1","12430","12430","17.4309353526855"
"hipGetDevice","25","5720","228","8.02131538353667"
"hipPointerGetAttribute","6","5510","918","7.72682653204319"
"hipSetDevice","12","2610","217","3.66007572570467"
"hipGetLastError","4","910","227","1.27611835647174"
"__hipPushCallConfiguration","2","830","415","1.16393212733137"
"__hipPopCallConfiguration","2","720","360","1.00967606226336"
"Total","56","71310","1273","100.0"
