kernel_instance_id,owner_process_range_id,request_id,measured_request_ordinal,rank,physical_device_id,phase,forward_id,layer_idx,process_id,fragment_id,q_len,kv_len,native_kernel_name,begin_ns,end_ns,duration_ns,runtime_call_id,hip_runtime_index,queue_id,stream_id,gridDimX,gridDimY,gridDimZ,blockDimX,blockDimY,blockDimZ,sharedMemBytes,launch_metadata_present,category,gqa_block_m_from_source_and_grid,packed_path,tensor_tokens_from_norm_grid
7ef2ea082bcbc3abccf2d3ea135f9c376f0abef2dc36ae6fdd55e9bf760bc62c,8d02a82e688144112e4fe23359ebf71fe2d7bf8869ecb5a34e4f26b2d7f4bb70,batch8-dual-dcu-dp2-req-001-9ff911f1de6b093c,1,1,1,prefill,batch8-dp2-fresh-003-R02-rank1-prefill-req001-occ001,0,input_rmsnorm,none,512,0,triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0,1788409245398852215,1788409245398913655,61440,c2b2aba159b75ee7cd8d3685db96abe927c946b8ff94665abc020d4d0fedc417,7464624,0,0,512,1,1,512,1,1,32,True,RMSNorm,,,
1bfbd598592cdfbcab40ef35300682501b7b54941600886212681622497e9714,af32fd1ad4bf66410243a7e04447ba06273d48dbbe0c08ce42672049ee9d6ce0,batch8-dual-dcu-dp2-req-001-9ff911f1de6b093c,1,1,1,prefill,batch8-dp2-fresh-003-R02-rank1-prefill-req001-occ001,0,gdn_recurrent_core,none,512,0,Cijk_Alik_Bljk_BBH_MT256x256x16_SE_AMAS3_BW_DTL0_BL1_DRB16_ALT_KME0_ETSP_EPS1_FL0_GRVW8_GSU1_ISA936_IU1_KME_GRCMn1_K1_KLA_LDL1_LRVW8_MAC_MMAC_BW1_MMAC_KM0_MMAC_KME1_NLCA1_NLCB1_OLDSR0_PGR1_PLR1_RK1_SU0_SUM0_SUS256_SVW4_TT16_8_TLM0_ULDSWM0_USFGRO0_USSB0_VAW1_VSn1_VW8_WG16_32_1_WGM8,1788409245417509652,1788409245417862612,352960,45983233bc7aa6fae55e3fcc3e19f82750f87860a2695cab4b12071c20c2ca36,7464647,0,0,,,,,,,0,True,MMAC GEMM,,,
705e8572d6e8ec430a19cfe27ee9fa2f25eec3a8e1660b39af52197552e5460a,af32fd1ad4bf66410243a7e04447ba06273d48dbbe0c08ce42672049ee9d6ce0,batch8-dual-dcu-dp2-req-001-9ff911f1de6b093c,1,1,1,prefill,batch8-dp2-fresh-003-R02-rank1-prefill-req001-occ001,0,gdn_recurrent_core,none,512,0,Cijk_Alik_Bljk_BBH_MT32x32x128_SE_AMAS3_BW_DTL0_BL1_DRB16_ALT_KME0_ETSP_EPS1_FL0_GRVW4_GSU1_ISA936_IU1_KME_GRCMn1_K1_KLA_LDL1_LRVW4_MAC_MMAC_BW1_MMAC_KM0_MMAC_KME1_NLCA1_NLCB1_OLDSR0_PGR1_PLR1_RK1_SU2_SUM0_SUS256_SVW4_TT4_4_TLM0_ULDSWM0_USFGRO0_USSB0_VAW2_VSn1_VW4_WG8_8_1_WGM1,1788409245417933012,1788409245417953812,20800,3618cc9972efc2988fda9ed6f30ea3b162bce65e0d4580cb83fc734bb06de9fe,7464665,0,0,,,,,,,0,True,MMAC GEMM,,,
3a25404827dff53ea5c6ef9b7d5f51b101be45411fdf8a9bf1c37efe7df70cf1,af32fd1ad4bf66410243a7e04447ba06273d48dbbe0c08ce42672049ee9d6ce0,batch8-dual-dcu-dp2-req-001-9ff911f1de6b093c,1,1,1,prefill,batch8-dp2-fresh-003-R02-rank1-prefill-req001-occ001,0,gdn_recurrent_core,none,512,0,triton_poi_fused_0,1788409245418306612,1788409245418309332,2720,0bcf4e8d91783516ea69952f0c31f41dc07fe94800319176ac87d6fb0008782d,7464684,0,0,96,1,1,256,1,1,0,True,Other,,,
f2142306320f027e10bd390e84039837b7c8916946068ad17968264b75f2be55,af32fd1ad4bf66410243a7e04447ba06273d48dbbe0c08ce42672049ee9d6ce0,batch8-dual-dcu-dp2-req-001-9ff911f1de6b093c,1,1,1,prefill,batch8-dp2-fresh-003-R02-rank1-prefill-req001-occ001,0,gdn_recurrent_core,none,512,0,_causal_conv1d_fwd_kernel,1788409245419534132,1788409245419592532,58400,e102f0f5c5f27cded69e29dc8a6b7bcdd24417dce0916747972483475abff8e2,7464721,0,0,64,40,1,256,1,1,0,True,GDN chunk/state,,,
97d305b1362fa0645c2082989e4b47e5a0b5d343f2544f5357c34f2a45d21ee0,af32fd1ad4bf66410243a7e04447ba06273d48dbbe0c08ce42672049ee9d6ce0,batch8-dual-dcu-dp2-req-001-9ff911f1de6b093c,1,1,1,prefill,batch8-dp2-fresh-003-R02-rank1-prefill-req001-occ001,0,gdn_recurrent_core,none,512,0,"void at::native::elementwise_kernel_manual_unroll<128, 8, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1} const&)::{lambda(int, bool)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1} const&)::{lambda(int, bool)#1})",1788409245419998452,1788409245420013172,14720,b6b2cecd2b44ad9f60d1af788080058a499bd7189534558eebca5a2ddc1bba89,7464739,0,0,,,,,,,0,True,Other,,,
382c07a92b26856ec257594b4dbf6bd4b6b25817b7b8e47231a4c83b66d100f0,af32fd1ad4bf66410243a7e04447ba06273d48dbbe0c08ce42672049ee9d6ce0,batch8-dual-dcu-dp2-req-001-9ff911f1de6b093c,1,1,1,prefill,batch8-dp2-fresh-003-R02-rank1-prefill-req001-occ001,0,gdn_recurrent_core,none,512,0,"void at::native::elementwise_kernel_manual_unroll<128, 8, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1} const&)::{lambda(int, bool)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1} const&)::{lambda(int, bool)#1})",1788409245420393332,1788409245420403092,9760,ca1ed3f8d1094ff85c98e4394314f54d47feb17030722007eedb42a499eb2a59,7464761,0,0,,,,,,,0,True,Other,,,
a7a6b27d82d542e015ba2421d6d61257dac49d4955011572b00ba83e70b9aad7,af32fd1ad4bf66410243a7e04447ba06273d48dbbe0c08ce42672049ee9d6ce0,batch8-dual-dcu-dp2-req-001-9ff911f1de6b093c,1,1,1,prefill,batch8-dp2-fresh-003-R02-rank1-prefill-req001-occ001,0,gdn_recurrent_core,none,512,0,"void at::native::elementwise_kernel_manual_unroll<128, 8, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1} const&)::{lambda(int, bool)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1} const&)::{lambda(int, bool)#1})",1788409245420778772,1788409245420795572,16800,2c3aae823e480a949c18c727402293babce393f67a9eebd46f096666dbd8de57,7464783,0,0,,,,,,,0,True,Other,,,
c805f607b42f34fa9d8746aa45c69029033f8afcf0ff605ad0dadeea19df013d,af32fd1ad4bf66410243a7e04447ba06273d48dbbe0c08ce42672049ee9d6ce0,batch8-dual-dcu-dp2-req-001-9ff911f1de6b093c,1,1,1,prefill,batch8-dp2-fresh-003-R02-rank1-prefill-req001-occ001,0,gdn_recurrent_core,none,512,0,fused_gdn_gating_kernel,1788409245421489172,1788409245421501652,12480,f70ac44aa569b17aba686b27d2854be0cd7063e11b337b71a380c4688dadd2be,7464813,0,0,512,1,6,64,1,1,0,True,GDN chunk/state,,,
823bd13ffa503c47c2aa483ac039f9b5076e0ad95caebdc13d0c0c38c5579199,af32fd1ad4bf66410243a7e04447ba06273d48dbbe0c08ce42672049ee9d6ce0,batch8-dual-dcu-dp2-req-001-9ff911f1de6b093c,1,1,1,prefill,batch8-dp2-fresh-003-R02-rank1-prefill-req001-occ001,0,gdn_recurrent_core,none,512,0,l2norm_fwd_kernel2,1788409245422069492,1788409245422076212,6720,f9c55d571ccce6a78f14c3483df7667e2a94b4c7cb9e7ded828c0d2ab15c6af3,7464833,0,0,256,1,1,256,1,1,0,True,GDN chunk/state,,,
4f9ae48c863b7afdb1ccfb08fc4bc82d3ca7d499f8397bdbc0f0ebfd833d5a52,af32fd1ad4bf66410243a7e04447ba06273d48dbbe0c08ce42672049ee9d6ce0,batch8-dual-dcu-dp2-req-001-9ff911f1de6b093c,1,1,1,prefill,batch8-dp2-fresh-003-R02-rank1-prefill-req001-occ001,0,gdn_recurrent_core,none,512,0,l2norm_fwd_kernel2,1788409245422420692,1788409245422426772,6080,5d07025016ae3343520cc7edb67de1b89fc535cbb80a634d20743b04b5a90721,7464850,0,0,256,1,1,256,1,1,0,True,GDN chunk/state,,,
0169722702b33917a549df4107ec93ce87efd0aea989e4e9888cabc92bf54675,af32fd1ad4bf66410243a7e04447ba06273d48dbbe0c08ce42672049ee9d6ce0,batch8-dual-dcu-dp2-req-001-9ff911f1de6b093c,1,1,1,prefill,batch8-dp2-fresh-003-R02-rank1-prefill-req001-occ001,0,gdn_recurrent_core,none,512,0,"void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctor_add<int>, std::array<char*, 3ul>, 4, TrivialOffsetCalculator<2, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, at::native::CUDAFunctor_add<int>, std::array<char*, 3ul>, TrivialOffsetCalculator<2, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast)",1788409245422901172,1788409245422904212,3040,c6f61c709497874f0ed053389bac380778f0b0fbfcc5e6f6640aabd2fbd5af07,7464872,0,0,,,,,,,0,True,Other,,,
e7bc82e6d2c4552107c79e7160ffda3f685b01059256f4a41d61b3b13635d283,af32fd1ad4bf66410243a7e04447ba06273d48dbbe0c08ce42672049ee9d6ce0,batch8-dual-dcu-dp2-req-001-9ff911f1de6b093c,1,1,1,prefill,batch8-dp2-fresh-003-R02-rank1-prefill-req001-occ001,0,gdn_recurrent_core,none,512,0,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<int>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<int>, std::array<char*, 2ul>)",1788409245423236852,1788409245423240052,3200,f2435f375f4ce2bbc7454a5afab287cac1f4840090cc0011500fe4acfb75fe85,7464891,0,0,,,,,,,0,True,Other,,,
7bb2bad7a56465b54cf38ba2951d58a00cacc4a3c2bd5bbf096b253b17255229,af32fd1ad4bf66410243a7e04447ba06273d48dbbe0c08ce42672049ee9d6ce0,batch8-dual-dcu-dp2-req-001-9ff911f1de6b093c,1,1,1,prefill,batch8-dp2-fresh-003-R02-rank1-prefill-req001-occ001,0,gdn_recurrent_core,none,512,0,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<int>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<int>, std::array<char*, 2ul>)",1788409245423529332,1788409245423532052,2720,f2b288161cd34c7b396dacd026097913eebf6569b096e450e19a71a52159b53a,7464910,0,0,,,,,,,0,True,Other,,,
6d9d649935860ce6d9becd501bd6fb9831e4320c1d3da2dac752605efdb9798a,af32fd1ad4bf66410243a7e04447ba06273d48dbbe0c08ce42672049ee9d6ce0,batch8-dual-dcu-dp2-req-001-9ff911f1de6b093c,1,1,1,prefill,batch8-dp2-fresh-003-R02-rank1-prefill-req001-occ001,0,gdn_recurrent_core,none,512,0,"void at::native::vectorized_elementwise_kernel<4, at::native::BUnaryFunctor<int, int, int, at::native::binary_internal::div_floor_kernel_cuda(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(int, int)#1}>, std::array<char*, 2ul> >(int, at::native::BUnaryFunctor<int, int, int, at::native::binary_internal::div_floor_kernel_cuda(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(int, int)#1}>, std::array<char*, 2ul>)",1788409245423890132,1788409245423894452,4320,49dee5febf24f8c2a4fadde5946e916a03561dcb332315e683eca4cb531c9f86,7464931,0,0,,,,,,,0,True,Other,,,
9d1885c6d66033f37a7844e5b8e7f17f759470e871d8a70c23abfe9fec6d6055,af32fd1ad4bf66410243a7e04447ba06273d48dbbe0c08ce42672049ee9d6ce0,batch8-dual-dcu-dp2-req-001-9ff911f1de6b093c,1,1,1,prefill,batch8-dp2-fresh-003-R02-rank1-prefill-req001-occ001,0,gdn_recurrent_core,none,512,0,chunk_local_cumsum_scalar_kernel,1788409245425150130,1788409245425155090,4960,2cd58fad6d0a0d6bc772ee7b078195e9d433c681e2f95fff9cb80c642d48358e,7465030,0,0,8,48,1,64,1,1,0,True,GDN chunk/state,,,
bb5c9a7c8a290371b465402d7bf2bad811dfd5d463a64c267209d6ee9c4dedd4,af32fd1ad4bf66410243a7e04447ba06273d48dbbe0c08ce42672049ee9d6ce0,batch8-dual-dcu-dp2-req-001-9ff911f1de6b093c,1,1,1,prefill,batch8-dp2-fresh-003-R02-rank1-prefill-req001-occ001,0,gdn_recurrent_core,none,512,0,chunk_scaled_dot_kkt_fwd_kernel,1788409245425723570,1788409245425744530,20960,e7413c549ff5cef484e6e2c15bcba64e1bda882814ecc792c5c4b5f652bc19af,7465053,0,0,8,48,1,256,1,1,16384,True,GDN chunk/state,,,
6d3980a3695df3a93474126b21506ab5d5a8e168b0de77ef2a554f5d11475c8a,af32fd1ad4bf66410243a7e04447ba06273d48dbbe0c08ce42672049ee9d6ce0,batch8-dual-dcu-dp2-req-001-9ff911f1de6b093c,1,1,1,prefill,batch8-dp2-fresh-003-R02-rank1-prefill-req001-occ001,0,gdn_recurrent_core,none,512,0,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",1788409245426133170,1788409245426137970,4800,69840786743412b11fadf72d1e0fbba9955c3bd6082238ef38f3619a7bcf73c9,7465074,0,0,,,,,,,0,True,Other,,,
07338a314b867a2bfd13134338b6395eff86680c9788c3011e72d03d4a815779,af32fd1ad4bf66410243a7e04447ba06273d48dbbe0c08ce42672049ee9d6ce0,batch8-dual-dcu-dp2-req-001-9ff911f1de6b093c,1,1,1,prefill,batch8-dp2-fresh-003-R02-rank1-prefill-req001-occ001,0,gdn_recurrent_core,none,512,0,merge_16x16_to_64x64_inverse_kernel,1788409245426496050,1788409245426545330,49280,dc7724bceef0bf345652e772d54a31e4e719325582f6fbc261ec011b903e0673,7465091,0,0,8,48,1,128,1,1,3072,True,GDN chunk/state,,,
4c481722af620c17bb42243f1b4481782a884b72df62931677b3c5e8106fa1b8,af32fd1ad4bf66410243a7e04447ba06273d48dbbe0c08ce42672049ee9d6ce0,batch8-dual-dcu-dp2-req-001-9ff911f1de6b093c,1,1,1,prefill,batch8-dp2-fresh-003-R02-rank1-prefill-req001-occ001,0,gdn_recurrent_core,none,512,0,recompute_w_u_fwd_kernel,1788409245427296530,1788409245427352530,56000,d4b11f188f174fabfc26b4bf5a41738b04e6f55da4c58125eb6ca9d1cc2b09d7,7465122,0,0,8,48,1,512,1,1,24576,True,GDN chunk/state,,,
ae5ad0086e7e8fc56adef97acb0320148a68a29df7c612452288d5778c4a6383,af32fd1ad4bf66410243a7e04447ba06273d48dbbe0c08ce42672049ee9d6ce0,batch8-dual-dcu-dp2-req-001-9ff911f1de6b093c,1,1,1,prefill,batch8-dp2-fresh-003-R02-rank1-prefill-req001-occ001,0,gdn_recurrent_core,none,512,0,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<int>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<int>, std::array<char*, 2ul>)",1788409245428045010,1788409245428047890,2880,e780c86447bd899927476c59d7c65dda999aebba3abc52a33eb68ac6714e51ba,7465180,0,0,,,,,,,0,True,Other,,,
bb9469f46eba613d3ee9a49c6734e19adcad23d435f6cbd93be52ef9a449fed3,af32fd1ad4bf66410243a7e04447ba06273d48dbbe0c08ce42672049ee9d6ce0,batch8-dual-dcu-dp2-req-001-9ff911f1de6b093c,1,1,1,prefill,batch8-dp2-fresh-003-R02-rank1-prefill-req001-occ001,0,gdn_recurrent_core,none,512,0,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<int>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<int>, std::array<char*, 2ul>)",1788409245428348050,1788409245428350770,2720,f543d5008fcce0c0a38b3f563c005e616e67dba229288a7d068af749df050299,7465199,0,0,,,,,,,0,True,Other,,,
36ad4d8a72c3bc1d1248ba7db0a9b42b2cf822e989baa6eaaa55b0eff5d88bc7,af32fd1ad4bf66410243a7e04447ba06273d48dbbe0c08ce42672049ee9d6ce0,batch8-dual-dcu-dp2-req-001-9ff911f1de6b093c,1,1,1,prefill,batch8-dp2-fresh-003-R02-rank1-prefill-req001-occ001,0,gdn_recurrent_core,none,512,0,"void at::native::vectorized_elementwise_kernel<4, at::native::BUnaryFunctor<int, int, int, at::native::binary_internal::div_floor_kernel_cuda(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(int, int)#1}>, std::array<char*, 2ul> >(int, at::native::BUnaryFunctor<int, int, int, at::native::binary_internal::div_floor_kernel_cuda(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(int, int)#1}>, std::array<char*, 2ul>)",1788409245428701330,1788409245428705490,4160,f26f78c01c38a0abe575cbbf72078171ab395671835b2de28b678dfccfcf6a73,7465220,0,0,,,,,,,0,True,Other,,,
