STREAM_VERIFIED r04-r06 74
EXTRACTED 2000 29894646
EXTRACTED 4000 53360015
EXTRACTED 6000 88179513
EXTRACTED 8000 112485391
EXTRACTED 10000 136968513
EXTRACTED 12000 172832774
EXTRACTED 14000 197946266
EXTRACTED 16000 220628636
EXTRACTED 18000 256752677
EXTRACTED 20000 281450322
EXTRACTED 22000 305189726
EXTRACTED 24000 328868362
EXTRACTED 26000 364067566
EXTRACTED 28000 387638695
EXTRACTED 30000 413224519
EXTRACTED 32000 443237511
EXTRACTED 34000 473510256
EXTRACTED 36000 497516294
EXTRACTED 38000 521563878
EXTRACTED 40000 556828863
EXTRACTED 42000 579735013
EXTRACTED 44000 606624826
EXTRACTED 46000 635127767
EXTRACTED 48000 666558839
EXTRACTED 50000 690345766
EXTRACTED 52000 713601447
EXTRACTED 54000 749829363
EXTRACTED 56000 772289270
EXTRACTED 58000 800022008
EXTRACTED 60000 827785516
EXTRACTED 62000 859497433
EXTRACTED 64000 904356841
EXTRACTED 66000 951710798
EXTRACTED 68000 1544831555
EXTRACTED 70000 1581334854
EXTRACTED 72000 1625321167
EXTRACTED 74000 1664300436
EXTRACTED 76000 1699873189
EXTRACTED 78000 1740223143
EXTRACTED 80000 5746471782
EXTRACTED 82000 5770050608
EXTRACTED 84000 5806364202
EXTRACTED 86000 5851294172
EXTRACTED 88000 5879520837
EXTRACTED 90000 5904413919
EXTRACTED 92000 5937482590
EXTRACTED 94000 5981009263
EXTRACTED 96000 6036940740
EXTRACTED 98000 6102503780
EXTRACTED 100000 6665932349
EXTRACTED 102000 6706961616
EXTRACTED 104000 6753478561
EXTRACTED 106000 6799062661
EXTRACTED 108000 6848795423
EXTRACTED 110000 6891018054
EXTRACTED 112000 10791925299
EXTRACTED 114000 11755286567
EXTRACTED 116000 12000733643
EXTRACTED 118000 12068093630
EXTRACTED 120000 12152281254
EXTRACTED 122000 12234701908
EXTRACTED 124000 12318088274
EXTRACTED 126000 12400869906
EXTRACTED 128000 12484150056
EXTRACTED 130000 12567285853
EXTRACTED 132000 12652735733
EXTRACTED 134000 12734207367
EXTRACTED 136000 12919768973
RESTORE_COMPLETE r04-r06 136748 13164330483 links recorded 0
