rank,group_or_event_key,score_ns,member_count,source_member_ids_json
1,bed321e3cdd8409d98e6d6f1875945bfd14af7280e9198d34fb8992847dce8af,49690945829,1,"[""bed321e3cdd8409d98e6d6f1875945bfd14af7280e9198d34fb8992847dce8af""]"
2,dd10938ce1c2c99e592dd17d1368074451114f327c3e71c95f23089f2a4f240a,49680726930,1,"[""dd10938ce1c2c99e592dd17d1368074451114f327c3e71c95f23089f2a4f240a""]"
3,19024e7299a1653c0aa6b105db27bb757dda2bf1f385f3c1845c1b8e0ff9ab17,48266140608,1,"[""19024e7299a1653c0aa6b105db27bb757dda2bf1f385f3c1845c1b8e0ff9ab17""]"
4,27df41e547bc16e34970bc363014bf71362aa7ed0eb7c5bf57e7a61145ace75f,47290286886,1,"[""27df41e547bc16e34970bc363014bf71362aa7ed0eb7c5bf57e7a61145ace75f""]"
5,e548896bb8b54124a4dad97fcd5ebdf0fac48eddda732f5b8e33e56779ba932c,45594008771,1,"[""e548896bb8b54124a4dad97fcd5ebdf0fac48eddda732f5b8e33e56779ba932c""]"
6,7f9553e5587c6ec79f4fe3a064d37895e09165f3456ed94057e9fd97e03a146a,44595795734,1,"[""7f9553e5587c6ec79f4fe3a064d37895e09165f3456ed94057e9fd97e03a146a""]"
7,c4d1e540f223133209aea78c020558af8d7fb5de53d5ee4e866f655d51a12c94,44184206118,1,"[""c4d1e540f223133209aea78c020558af8d7fb5de53d5ee4e866f655d51a12c94""]"
8,62432fb9954143d0e9c2b914caa0d1024345efdf187fe06c4128b069464c8724,43615732686,1,"[""62432fb9954143d0e9c2b914caa0d1024345efdf187fe06c4128b069464c8724""]"
9,be7b23855e0de411d000724d1b733d8494f8988fcf5cc2ba33143b6a7973913f,45319696,1,"[""be7b23855e0de411d000724d1b733d8494f8988fcf5cc2ba33143b6a7973913f""]"
10,21f49056571dc9343a16dfda92456d9e9019035df4a14a2f4939fa8bba621247,36116718,1,"[""21f49056571dc9343a16dfda92456d9e9019035df4a14a2f4939fa8bba621247""]"
11,a62f04f9946fdde11feb4a35660d226853a9238e194e11451c2b19929dfd5a14,35531197,1,"[""a62f04f9946fdde11feb4a35660d226853a9238e194e11451c2b19929dfd5a14""]"
12,1bf7421207e7db41d032d5d499cd8e2f33db57a8a29c39a367f7bb46102bc1dc,35238715,1,"[""1bf7421207e7db41d032d5d499cd8e2f33db57a8a29c39a367f7bb46102bc1dc""]"
13,63fc7cd55f7b17048f3c732546622932b2295fbee8a9d93d8e8019d352265e75,34195994,1,"[""63fc7cd55f7b17048f3c732546622932b2295fbee8a9d93d8e8019d352265e75""]"
14,b22cabc68906ae8c23bf3f532890ec83e583040b02bdd37872d781098f7f8a6c,34038236,1,"[""b22cabc68906ae8c23bf3f532890ec83e583040b02bdd37872d781098f7f8a6c""]"
15,cf85f65192e5b16cc0105a1fd143e3a5c86c5b74f9c70d4faba62e2196b98be6,33928921,1,"[""cf85f65192e5b16cc0105a1fd143e3a5c86c5b74f9c70d4faba62e2196b98be6""]"
16,31984d95fdc742ab4431187aeadf4d51e64c6026413c7e67f49b60b4df6cf3df,33728745,1,"[""31984d95fdc742ab4431187aeadf4d51e64c6026413c7e67f49b60b4df6cf3df""]"
17,35a079b7ba19209f1631a248c7c127376af8970fc22c790e65e8e6cb7a1db88b,33569570,1,"[""35a079b7ba19209f1631a248c7c127376af8970fc22c790e65e8e6cb7a1db88b""]"
18,062daff49349208bb65de2a6fddf3a887f93686596b6f3442f2a295e9908e308,33520245,1,"[""062daff49349208bb65de2a6fddf3a887f93686596b6f3442f2a295e9908e308""]"
19,df25493d2b1cb415f2365dfc791c2ea8e30c753732343fa335dc3f915fe2c8d7,33405276,1,"[""df25493d2b1cb415f2365dfc791c2ea8e30c753732343fa335dc3f915fe2c8d7""]"
20,04ad69aee5ec86e5c4a495601c4d2ee2831aab61140d3ce6d4dec61296bd9be9,33386395,1,"[""04ad69aee5ec86e5c4a495601c4d2ee2831aab61140d3ce6d4dec61296bd9be9""]"
21,f4ecc9a222df40adad3ef04a15d852e1ce9ce6b17ec48a2a6debc0d80e0c256f,33363224,1,"[""f4ecc9a222df40adad3ef04a15d852e1ce9ce6b17ec48a2a6debc0d80e0c256f""]"
22,34dad495c2748c0e5a291aa93ab8c054f83ed7243d15fd427afdc1bc3f3ce3a9,33343997,1,"[""34dad495c2748c0e5a291aa93ab8c054f83ed7243d15fd427afdc1bc3f3ce3a9""]"
23,b2300c4c888194f2af3af304de932a164378057eb4cb2d657da0d5c248052e88,33315517,1,"[""b2300c4c888194f2af3af304de932a164378057eb4cb2d657da0d5c248052e88""]"
24,2e35581446b88079632d3a14f6bf04a126c6088485f545e8331f9093507c58c1,33113917,1,"[""2e35581446b88079632d3a14f6bf04a126c6088485f545e8331f9093507c58c1""]"
25,c0a4ff1d34601c89a51f80f623eae5f78d63811895caaeea02b57bdfee71f3d5,32895037,1,"[""c0a4ff1d34601c89a51f80f623eae5f78d63811895caaeea02b57bdfee71f3d5""]"
26,39e541247547f3f9055083352200073d9f4230630b6d0131b0656fe5b9998f8c,32690184,1,"[""39e541247547f3f9055083352200073d9f4230630b6d0131b0656fe5b9998f8c""]"
27,05604c60716a3ecd187e64b050753e90607f663a48caba379fb3d95330dc1235,32607838,1,"[""05604c60716a3ecd187e64b050753e90607f663a48caba379fb3d95330dc1235""]"
28,cce1ca2f85c09ab937646f8c5f2ccba3f61f01869a2961ddf430c9ef2311d07d,32520010,1,"[""cce1ca2f85c09ab937646f8c5f2ccba3f61f01869a2961ddf430c9ef2311d07d""]"
29,6435e81be8c04a8449be05493e70bedd35f62b9891227dbeb85577d77db2ca70,32485276,1,"[""6435e81be8c04a8449be05493e70bedd35f62b9891227dbeb85577d77db2ca70""]"
30,4fbb71cd969965c72c0dc5795bfec6243719ad757c706731162dcb72921b0c14,32427357,1,"[""4fbb71cd969965c72c0dc5795bfec6243719ad757c706731162dcb72921b0c14""]"
31,8db3687af4ad485bcfd16f5ba460b57bf9c93c5f62c14e450dfdb2f49c8a49e8,32326075,1,"[""8db3687af4ad485bcfd16f5ba460b57bf9c93c5f62c14e450dfdb2f49c8a49e8""]"
32,a2b35b25a5048b2a773931e2cdcd27b6fe8fdae86d21050794ebc0d4f51491fc,32043996,1,"[""a2b35b25a5048b2a773931e2cdcd27b6fe8fdae86d21050794ebc0d4f51491fc""]"
33,40fb0f990937628e0e3f4c3f32e4b3034d248b003ccdfd18b498b23389a79cfc,32039037,1,"[""40fb0f990937628e0e3f4c3f32e4b3034d248b003ccdfd18b498b23389a79cfc""]"
34,db788d95092e9a0da21e75f3c792213c5e06c447e2a14938c8905209d7b52332,32034256,1,"[""db788d95092e9a0da21e75f3c792213c5e06c447e2a14938c8905209d7b52332""]"
35,169f198ccbca16426b2547a557fa59f63eee2f09cfe29f2475bfb725e4e14a41,31972318,1,"[""169f198ccbca16426b2547a557fa59f63eee2f09cfe29f2475bfb725e4e14a41""]"
36,7c1693ee27e0f051c0d3f87db59ecba1df0fc93b0d7fde4e7c515a894bb42113,31934394,1,"[""7c1693ee27e0f051c0d3f87db59ecba1df0fc93b0d7fde4e7c515a894bb42113""]"
37,577fc23a77520698f52b6d735f520332ec24c7614bd9d53346198e4899753722,31903262,1,"[""577fc23a77520698f52b6d735f520332ec24c7614bd9d53346198e4899753722""]"
38,8fd2dd445bb53dc42eab9803aabdddc22accd4e43296537c146116ce1621bbc3,31809757,1,"[""8fd2dd445bb53dc42eab9803aabdddc22accd4e43296537c146116ce1621bbc3""]"
39,8f52158663c55069762da13b0b3d2abfd945256ed4ef2f2afaf7ea75fe1e5b8d,31788317,1,"[""8f52158663c55069762da13b0b3d2abfd945256ed4ef2f2afaf7ea75fe1e5b8d""]"
40,491408381aea94df3a4da79cc3d39f5b3379832d06e7b0d8599c28e8125e9ff1,31698875,1,"[""491408381aea94df3a4da79cc3d39f5b3379832d06e7b0d8599c28e8125e9ff1""]"
41,f2cca9fcb053840ee25b7aa4adb54962c22b9ee1a5670043ebe3e58934db1651,31683375,1,"[""f2cca9fcb053840ee25b7aa4adb54962c22b9ee1a5670043ebe3e58934db1651""]"
42,9b6af50993460a5aa115b440ce6a5b21b67cc493eb53544e96c23f6e4d3e079b,31667782,1,"[""9b6af50993460a5aa115b440ce6a5b21b67cc493eb53544e96c23f6e4d3e079b""]"
43,050b29e5dcca77887ed12054c4300f7eac2642b5fcbebf7b20cd91b1c9a18c4b,31634765,1,"[""050b29e5dcca77887ed12054c4300f7eac2642b5fcbebf7b20cd91b1c9a18c4b""]"
44,1c7648d85d9c8e7d92e7dd2660c6298960e69356c2176ca64ab65c962aecd3b1,31605757,1,"[""1c7648d85d9c8e7d92e7dd2660c6298960e69356c2176ca64ab65c962aecd3b1""]"
45,dc9d70db9a02076854ab0089aadcf4ec826aae0557868d3464546d635d5e3d2f,31581318,1,"[""dc9d70db9a02076854ab0089aadcf4ec826aae0557868d3464546d635d5e3d2f""]"
46,6b01fdd3bde9e875cc43a81f63fc6a3f9ae8d04a6f93e02ff4a794bbf561834e,31573053,1,"[""6b01fdd3bde9e875cc43a81f63fc6a3f9ae8d04a6f93e02ff4a794bbf561834e""]"
