rank,group_or_event_key,score_ns,member_count,source_member_ids_json
1,1:1538780:1538782,12851753,1,"[""1:1538780:1538782""]"
2,0:1538779:1538781,12664492,1,"[""0:1538779:1538781""]"
3,1:1221872:1221874,8488677,1,"[""1:1221872:1221874""]"
4,0:1221871:1221873,8461747,1,"[""0:1221871:1221873""]"
5,0:2246993:2246995,6189416,1,"[""0:2246993:2246995""]"
6,1:1208222:1208224,5830433,1,"[""1:1208222:1208224""]"
7,0:1208221:1208223,5786453,1,"[""0:1208221:1208223""]"
8,0:1629755:1629757,5052039,1,"[""0:1629755:1629757""]"
9,1:1629756:1629758,5016088,1,"[""1:1629756:1629758""]"
10,0:1154999:1155001,4960329,1,"[""0:1154999:1155001""]"
11,1:1178208:1178210,4947528,1,"[""1:1178208:1178210""]"
12,0:1178207:1178209,4917858,1,"[""0:1178207:1178209""]"
13,1:1488196:1488198,4783817,1,"[""1:1488196:1488198""]"
14,0:907703:907705,4741957,1,"[""0:907703:907705""]"
15,1:1225884:1225886,4620676,1,"[""1:1225884:1225886""]"
16,0:1226241:1226243,4613676,1,"[""0:1226241:1226243""]"
17,1:1251094:1251096,4609326,1,"[""1:1251094:1251096""]"
18,1:1222012:1222014,4548456,1,"[""1:1222012:1222014""]"
19,0:1225883:1225885,4538066,1,"[""0:1225883:1225885""]"
20,0:1222011:1222013,4521316,1,"[""0:1222011:1222013""]"
21,1:907702:907704,4472226,1,"[""1:907702:907704""]"
22,0:1488195:1488197,4442665,1,"[""0:1488195:1488197""]"
23,0:1251093:1251095,4326644,1,"[""0:1251093:1251095""]"
24,0:1249563:1249565,4065453,1,"[""0:1249563:1249565""]"
25,1:1228792:1228794,3985383,1,"[""1:1228792:1228794""]"
26,1:1249564:1249566,3968723,1,"[""1:1249564:1249566""]"
27,0:1228791:1228793,3958522,1,"[""0:1228791:1228793""]"
28,0:1250755:1250757,3744611,1,"[""0:1250755:1250757""]"
29,1:1251206:1251208,3570360,1,"[""1:1251206:1251208""]"
30,0:1251205:1251207,3536609,1,"[""0:1251205:1251207""]"
31,1:1250756:1250758,3477870,1,"[""1:1250756:1250758""]"
32,1:1159964:1159966,3471820,1,"[""1:1159964:1159966""]"
33,1:1155000:1155002,3464940,1,"[""1:1155000:1155002""]"
34,0:1159963:1159965,3416309,1,"[""0:1159963:1159965""]"
35,0:2343351:2343353,3306479,1,"[""0:2343351:2343353""]"
36,0:2269599:2269601,3185728,1,"[""0:2269599:2269601""]"
37,0:1205123:1205125,3157338,1,"[""0:1205123:1205125""]"
38,0:2338085:2338087,3128378,1,"[""0:2338085:2338087""]"
39,1:2309706:2309708,3009457,1,"[""1:2309706:2309708""]"
40,1:1205124:1205126,3004597,1,"[""1:1205124:1205126""]"
41,1:2269600:2269602,2989237,1,"[""1:2269600:2269602""]"
42,0:2309705:2309707,2978457,1,"[""0:2309705:2309707""]"
43,1:2152496:2152498,2954477,1,"[""1:2152496:2152498""]"
44,1:2147064:2147066,2924227,1,"[""1:2147064:2147066""]"
45,0:2152495:2152497,2922957,1,"[""0:2152495:2152497""]"
46,0:2147063:2147065,2899396,1,"[""0:2147063:2147065""]"
47,1:2364214:2364216,2826387,1,"[""1:2364214:2364216""]"
48,1:2178520:2178522,2821716,1,"[""1:2178520:2178522""]"
49,1:2290578:2290580,2821366,1,"[""1:2290578:2290580""]"
50,1:1509628:1509630,2820136,1,"[""1:1509628:1509630""]"
51,0:1509627:1509629,2788016,1,"[""0:1509627:1509629""]"
52,0:2364213:2364215,2715216,1,"[""0:2364213:2364215""]"
53,1:2343350:2343352,2700835,1,"[""1:2343350:2343352""]"
54,1:1851346:1851348,2636955,1,"[""1:1851346:1851348""]"
55,1:1154812:1154814,2628935,1,"[""1:1154812:1154814""]"
56,1:2101368:2101370,2604505,1,"[""1:2101368:2101370""]"
57,0:1634917:1634919,2603234,1,"[""0:1634917:1634919""]"
58,0:2178519:2178521,2586305,1,"[""0:2178519:2178521""]"
59,1:2148206:2148208,2580214,1,"[""1:2148206:2148208""]"
60,1:2137670:2137672,2542275,1,"[""1:2137670:2137672""]"
61,0:2290577:2290579,2540464,1,"[""0:2290577:2290579""]"
62,1:1226240:1226242,2458114,1,"[""1:1226240:1226242""]"
63,0:1154811:1154813,2454104,1,"[""0:1154811:1154813""]"
64,1:2486832:2486834,2451892,1,"[""1:2486832:2486834""]"
65,1:2384676:2384678,2443194,1,"[""1:2384676:2384678""]"
66,0:2180229:2180231,2428924,1,"[""0:2180229:2180231""]"
67,1:2227676:2227678,2426744,1,"[""1:2227676:2227678""]"
68,0:1851345:1851347,2416434,1,"[""0:1851345:1851347""]"
69,1:2354608:2354610,2405344,1,"[""1:2354608:2354610""]"
70,0:2045001:2045003,2398714,1,"[""0:2045001:2045003""]"
71,1:2177594:2177596,2381823,1,"[""1:2177594:2177596""]"
72,1:2144686:2144688,2375043,1,"[""1:2144686:2144688""]"
73,1:2189056:2189058,2363643,1,"[""1:2189056:2189058""]"
74,0:2144685:2144687,2359943,1,"[""0:2144685:2144687""]"
75,0:2101367:2101369,2357574,1,"[""0:2101367:2101369""]"
76,0:2177593:2177595,2353463,1,"[""0:2177593:2177595""]"
77,0:2486831:2486833,2352792,1,"[""0:2486831:2486833""]"
78,0:2189055:2189057,2342074,1,"[""0:2189055:2189057""]"
79,1:1634918:1634920,2339763,1,"[""1:1634918:1634920""]"
80,1:2176968:2176970,2325853,1,"[""1:2176968:2176970""]"
81,0:2148205:2148207,2317493,1,"[""0:2148205:2148207""]"
82,1:2307640:2307642,2297783,1,"[""1:2307640:2307642""]"
83,0:2176967:2176969,2281103,1,"[""0:2176967:2176969""]"
84,0:2307639:2307641,2264723,1,"[""0:2307639:2307641""]"
85,1:2155342:2155344,2237533,1,"[""1:2155342:2155344""]"
86,1:1064228:1064230,2233412,1,"[""1:1064228:1064230""]"
87,0:2137669:2137671,2209133,1,"[""0:2137669:2137671""]"
88,1:1226242:1226244,2207632,1,"[""1:1226242:1226244""]"
89,1:1538820:1538822,2170712,1,"[""1:1538820:1538822""]"
90,1:2180230:2180232,2151882,1,"[""1:2180230:2180232""]"
91,0:2155341:2155343,2146572,1,"[""0:2155341:2155343""]"
92,1:2045002:2045004,2146272,1,"[""1:2045002:2045004""]"
93,1:463384:463386,2139922,1,"[""1:463384:463386""]"
94,0:2073051:2073053,2133703,1,"[""0:2073051:2073053""]"
95,0:2384677:2384679,2114732,1,"[""0:2384677:2384679""]"
96,0:1064229:1064231,2111862,1,"[""0:1064229:1064231""]"
97,0:2227675:2227677,2106102,1,"[""0:2227675:2227677""]"
98,0:913921:913923,2104282,1,"[""0:913921:913923""]"
99,0:2156279:2156281,2102312,1,"[""0:2156279:2156281""]"
100,1:1795364:1795366,2087491,1,"[""1:1795364:1795366""]"
101,0:463383:463385,2085592,1,"[""0:463383:463385""]"
102,1:1698922:1698924,2077642,1,"[""1:1698922:1698924""]"
103,0:2354607:2354609,2076242,1,"[""0:2354607:2354609""]"
104,0:2397843:2397845,2075962,1,"[""0:2397843:2397845""]"
105,0:1958401:1958403,2074852,1,"[""0:1958401:1958403""]"
106,1:2175482:2175484,2074792,1,"[""1:2175482:2175484""]"
107,1:2200084:2200086,2070991,1,"[""1:2200084:2200086""]"
108,1:2159816:2159818,2055452,1,"[""1:2159816:2159818""]"
109,0:2175481:2175483,2048022,1,"[""0:2175481:2175483""]"
110,0:2200083:2200085,2045761,1,"[""0:2200083:2200085""]"
111,1:913920:913922,2044972,1,"[""1:913920:913922""]"
112,1:2397842:2397844,2044602,1,"[""1:2397842:2397844""]"
113,0:1698921:1698923,2033642,1,"[""0:1698921:1698923""]"
114,0:2273161:2273163,2025952,1,"[""0:2273161:2273163""]"
115,1:2281822:2281824,2024741,1,"[""1:2281822:2281824""]"
116,1:749202:749204,2011282,1,"[""1:749202:749204""]"
117,0:2470401:2470403,2003880,1,"[""0:2470401:2470403""]"
118,0:2281821:2281823,1998511,1,"[""0:2281821:2281823""]"
119,1:2172168:2172170,1990692,1,"[""1:2172168:2172170""]"
120,1:2273162:2273164,1988791,1,"[""1:2273162:2273164""]"
121,1:2156280:2156282,1988462,1,"[""1:2156280:2156282""]"
122,1:2073052:2073054,1981462,1,"[""1:2073052:2073054""]"
123,1:1958400:1958402,1975931,1,"[""1:1958400:1958402""]"
124,1:2064980:2064982,1970371,1,"[""1:2064980:2064982""]"
125,1:2204938:2204940,1965011,1,"[""1:2204938:2204940""]"
126,0:2159815:2159817,1964532,1,"[""0:2159815:2159817""]"
127,0:2172167:2172169,1962921,1,"[""0:2172167:2172169""]"
128,0:2204937:2204939,1958741,1,"[""0:2204937:2204939""]"
129,1:2171744:2171746,1956511,1,"[""1:2171744:2171746""]"
130,1:2071406:2071408,1951971,1,"[""1:2071406:2071408""]"
131,1:2383360:2383362,1946251,1,"[""1:2383360:2383362""]"
132,1:2171588:2171590,1939431,1,"[""1:2171588:2171590""]"
133,1:2470400:2470402,1938140,1,"[""1:2470400:2470402""]"
134,0:2171587:2171589,1917051,1,"[""0:2171587:2171589""]"
135,1:2140128:2140130,1914591,1,"[""1:2140128:2140130""]"
